transaction_id,account_number,transaction_date,amount,currency
eabd8f3e-4e7a-4e6f-8952-98655ea4f4f0,PL74374104403995116789841149,2025-01-18,115142,AUD
a6f42b78-14b4-4d49-9b5f-70173cbcbc85,PL26848596043925723656146616,2025-05-03,64668,SEK
e4501592-2e9f-4f7f-982e-6832499ed7fc,PL39808095026638443141465195,2025-10-13,122991,CNY
665c8fd0-8ba0-4ba8-a90c-602d0d0488a6,PL73269894716637921202311473,2025-06-07,214431,USD
c497b8d9-3134-4281-b01c-36d15a733df7,PL54647952067951874476942353,2025-12-11,64242,CAD
8ed86076-3234-4ad4-aea3-309117ecaa30,PL44735379273382974495905101,2025-10-14,170861,EUR
c5dacc38-e028-4579-a3b5-3c18169420df,PL77720259130042663351704553,2025-12-27,235818,EUR
2bdb386c-0724-40f4-b1cf-0f1703fbc742,PL36461746575603229245664799,2025-06-19,232071,USD
05d4e88a-9b54-454d-97a0-6e53069982cf,XX92278790505016558463569654,2025-04-28,88698,USD
7e484e30-a551-4999-929e-a0ab16dbf9a5,PL97909608193,2025-10-07,242109,CAD
51560f81-3fba-4e82-9290-8751ef2a2d47,PL37963219657626939053211173,2025-12-17,20752,JPY
44a4b5c7-fb78-4eef-b572-71463b1d53d7,PL33866741660525636247980445,2025-08-26,137340,CAD
76627c17-73fb-4643-b7a1-070e73b42eda,PL99852052911749698400118777,2025-05-08,201497,SEK
5ff487f0-ad96-4736-9274-fecab7c15398,XX23405482363157636046352797,2025-11-28,15569,JPY
c7ae3004-f518-4673-89cf-727d8c7e048a,PL61218892095366418753119898,2025-01-01,89853,CNY
4111a0c3-ba8d-4e5d-a495-2624eba240df,PL12400215525571205485129579,2025-09-26,190513,EUR
db9df047-a0e6-421a-8dea-5c9665379f16,PL96394160486966613034338243,2025-06-22,101367,SEK
4cd3a33d-9c21-4a0d-91ac-aa2779487ef8,PL23192279650408471523226926,2025-10-31,165597,SEK
2478fdeb-e734-4b00-839e-ebf3c8efd4dc,PL66778433298742046237104074,2025-01-29,74131,CAD
7a975dfb-7101-4a37-9b7c-3b577100e77a,PL98355175767397053566553711,2025-06-11,161113,JPY
61ff0cfb-4d40-46f7-b1ea-b193cdd037b6,PL56802120877422472197869293,2025-03-23,5316,CNY
7e26484a-36b7-4339-95e5-3f76e0516594,PL46558172296910106081956850,2025-03-13,52152,SEK
dcd3aacf-c005-4e12-98a2-e5f2f6417b1e,PL42511313664897319316373309,2025-03-06,153499,CAD
b128fa2b-256c-4b12-8936-f5dffbc2fcfd,PL73537731585594441918039738,2025-08-30,180037,AUD
6e6adc7e-4e5b-4b1d-9f03-af8e60d06586,PL26460955833027214277003388,2025-11-06,119361,GBP
6ad0ea24-4d62-4b70-82e6-785e970a6bb9,XX55278346806573871753794057,2025-02-04,47519,USD
c0bf0691-be67-42f8-9b4d-262e1344ea4a,PL62126571233358009328439950,2025-02-25,6823,CHF
118dbac4-66fb-4b3e-aabc-5dda0be6fa0b,PL32497971672671426519763407,2025-01-25,145355,USD
a327bccf-a3a2-4855-a711-a2929acb8a55,PL79854063292303276473941748,2025-10-18,146913,CAD
4b34d4f6-9e0f-4864-950f-0801e60a973a,PL93445261402354100107099946,2025-10-05,174572,AUD
8ea848b3-a736-4038-9a1a-07e6ef1eba81,PL35111037182767744299602829,2025-01-07,161641,CNY
c358ae93-c774-474d-ba4c-8fcfdd0b1c9e,XX32262936175288535905376336,2025-09-08,90272,USD
9f2bf3fc-915d-4703-bc4c-6c91bca0b4f2,PL58742873099861100588333685,2025-06-11,74992,CNY
01603929-bc91-4514-91d5-b16525b62c91,PL57111732452957718808232321,2025-10-17,202552,PLN
a7faa439-e9f4-4d23-bd48-5201c9652e17,XX14810678526152350789432024,2025-01-31,136070,SEK
77ee7401-30a8-44c3-a4c4-16ed69196f3a,XX14321532746239578879230683,2025-09-28,119450,AUD
50441ea1-ad49-4f77-b135-131288b01ea7,PL48611966974681645202549783,2025-02-24,124553,AUD
16d0f411-59d3-49bb-bae2-8f5982e984d2,PL59470900948626255186553350,2025-01-07,226046,SEK
e0b935d9-e2f7-4688-b21d-04405223b1b6,PL10498577056242180522582728,2025-08-28,206858,CNY
7004f8b7-ac78-4db6-b2cf-dd0f3b49bc9e,PL52588954033707236793643142,2025-11-30,68734,JPY
24ef5219-5e4c-43a0-a66f-f749e61301e3,XX34874934362097141035013377,2025-04-27,11193,EUR
b5724923-a00d-466c-a838-aa1a277adbbf,PL85470316854387284147518830,2025-08-17,74787,CNY
7d5d5e9f-66cf-4fa2-875c-1fffbcda8507,PL73159205515399301069888367,2025-09-26,89285,CHF
300900d8-3799-4d17-9dcd-4258fef81509,PL61755433616082829863041175,2025-07-18,34486,USD
17b21670-d664-4f19-ab42-4d77c04ee77b,PL55705055571230879242744603,2025-07-02,150376,AUD
fd256373-a626-43d0-a09d-829c46321674,PL8273308292102105641705274620592,2025-12-17,140069,JPY
a7f22c19-ea2f-4c5e-a470-aeafbd5b47fe,XX21502125989212464357228090,2025-03-16,227417,AUD
a6478c32-faf5-4e81-a914-c3c7b85c92cf,PL9304406666737064452003988226194,2025-09-18,195645,USD
c6a6fc97-c9b3-402a-8fc3-3c786ad0c9f9,PL97954079900912062337836900,2025-08-31,157142,CHF
0114157e-f2a4-416c-bc66-26ff028a1a55,PL63543156856727391242947093,2025-07-05,219901,AUD
2f51acd5-66cc-4ab1-a3f1-bc1183f41ca2,PL29441913971231319862954290,2025-03-07,61157,CHF
38fb9e4a-8979-4e8f-a6b8-16f1f3844dab,PL98213927810889044750654573,2025-11-10,171749,AUD
6d604c2a-5f47-4c52-8e68-a7297dc66c80,PL59978378992486136627585076,2025-03-11,100132,CNY
90ace13a-1028-4d53-9336-84e8158438cb,PL68262539772401145649408716,2025-09-02,62388,AUD
5f54ef44-8b5c-447e-ac2b-641b72f6fa94,PL75176550795946909665838063,2025-06-26,3493,SEK
47eabb59-741c-4d6c-ad2f-1e1252beaada,PL80822733514312807536352148,2025-04-12,135392,CAD
e2bcd320-c682-4224-9f07-100c503e411e,PL61294286344,2025-10-05,72851,USD
58fb5043-9a66-41c1-a282-df432f207688,PL50805337220138449399579703,2025-07-02,82321,AUD
792c70ec-5a3f-4cf5-a05d-1ec700c2266b,PL89546041187963231667651895,2025-03-25,42719,CAD
6ae55af3-85fc-4e45-93bd-9ee44f52cea9,PL76445863335809530040761434,2025-05-03,230188,CNY
5ba62b68-47fd-4ec2-b399-25b3aea92311,PL83387848905472482791333182,2025-09-28,11426,GBP
bf9b8a1e-7e40-489b-801a-a05fe6b0fa8c,P56688403603849094016744214,2025-03-08,220637,CNY
5fc7a50c-ec6e-4ef3-a01e-9c29a013433b,PL7611933497396954570594510392826,2025-08-21,146085,GBP
7fd4f037-cb34-4631-9584-f75b5ee87c88,PL34599767089865829501904072,2025-05-14,65334,PLN
4261f274-818f-4e87-b8f9-515c0c7c44a2,P73841917540164802246813218,2025-10-19,177013,CHF
58b98e1c-bf71-4139-a7af-8b4c051e3535,PL30825583975443045964686418,2025-10-12,159335,GBP
db28b5c3-1621-4c5c-ae31-3c5fce13556c,PL8935415051795739994748167511316,2025-03-23,220751,PLN
67b1a732-688a-468b-bfb8-1cff70e0ba80,PL18444054943955653401272307,2025-04-19,114110,PLN
9c156d1a-bed8-4f14-b767-9b3bc4ae060f,PL3795076557445055658521990252155,2025-03-14,8390,JPY
0d786a63-c876-4979-9d11-f2f9715538ac,PL7731722862567488113279009828323,2025-10-01,139352,CNY
bbff39dc-a675-4b87-91fe-a4a7feed07e5,PL26174176289898271353153113,2025-04-13,192601,CNY
9b5a29ed-b14d-4348-9aa5-b23110d4d9da,PL92538361582287678040129161,2025-03-08,5708,USD
7fd25fee-5875-48de-ba40-75b8ed49478d,XX48124574505315253282796270,2025-01-07,30475,CNY
f02a9283-bf11-4e17-97ef-e0399c9a2ecc,PL28944920603924839642486064,2025-08-14,185422,SEK
8e8b5b06-0348-4873-adc4-a841db6840bb,PL27953939897423146343545126,2025-05-15,52110,USD
74c3fe40-0194-4329-86e0-7cab4ebbf7b0,PL87550541220829966504541540,2025-11-21,43021,GBP
21dc5658-ec05-4516-b5d1-ca4fdb672c86,PL18102033679610185762526573,2025-05-26,42095,EUR
84a6d8f0-2431-46ac-ab8a-5ce589185ea7,PL30242020258137431756192009,2025-08-18,175300,CHF
6f863677-fa5e-40d2-b0b7-619d96696052,PL35210900907955822293415589,2025-07-22,67673,CNY
2ca99c8d-8e4a-4029-bf3d-346c5e7f153e,PL62906752296099701676014258,2025-06-08,248434,GBP
4c8a8b98-61c7-49cd-a83a-23ea46436b6e,PL41269236995867909731568406,2025-03-26,226365,SEK
82528a4a-1f01-4b50-8d08-67a4b39481f9,PL35573043616751482114498074,2025-04-24,138012,CAD
8da349fc-b5de-44d6-a786-178de4c2f527,PL85753867936942620152743703,2025-05-24,70411,SEK
3e8e0791-dc4c-4ed7-bf41-beb3e15888aa,PL19986314486713163872968280,2025-05-14,136977,AUD
156273e8-b349-4e38-90f1-e1e959b16393,PL17168141397923123525457351,2025-06-03,132595,AUD
246ae750-77de-463b-83d5-828633e74a7a,P53430194628882337378720172,2025-10-20,114876,USD
ac5ec4f3-9330-46dc-a813-bf4c5899a3a0,PL89673700961277999414437996,2025-01-17,78359,CNY
bce1ca97-b698-4f16-97b3-bce334c32b7c,PL31514391960054987879637493,2025-12-29,187449,CAD
a624a8e1-ef69-4349-9efe-326c0b21c3bf,PL76294781051067930551494310,2025-11-09,178713,SEK
a97bae3a-5ce2-4cd9-b507-a33eaeb2a9ae,PL65452015300393922255362769,2025-05-24,230677,CHF
484aecb7-3c98-40f9-b3a6-657b3304177a,PL29139074441582144468878420,2025-08-24,54871,CNY
1b517603-6b93-449a-96ab-e4bb3802bce4,PL31437526476942334231917332,2025-03-04,241857,EUR
4cc3221a-bcf7-436d-a97a-9391ad62ad44,PL41065108571,2025-09-23,229906,PLN
b7c8c97d-7560-42ff-83e9-5c8d5e8f4c4b,PL88404140578078714801051621,2025-11-07,3003,AUD
9e04d5f1-e4ac-4985-80af-30490e2cca6e,PL24270170909359560218882067,2025-12-31,98611,GBP
df043af0-6333-4abf-8ab4-487fea3f19dc,PL73816285189865929254416230,2025-01-28,103040,SEK
0c99b762-492e-4e2c-b4d8-4cb7a0487683,PL89169559460314241793635768,2025-12-23,53832,PLN
e5cb2191-1b97-44e5-af4f-df0a70156be7,XX61477391711174109544237001,2025-04-22,24874,EUR
aae2746e-2904-449f-b544-ff8e936c7d19,PL58515676098850873125289234,2025-07-24,20021,EUR
1a9ffbea-29d8-4d38-a093-a9f95d63884f,PL64155970998796380301818582,2025-11-19,74306,SEK
4db58c6a-aa08-49fe-aae1-25460ad88196,PL59220063960790203998015468,2025-07-02,230696,GBP
db838305-a2a8-4dea-a643-b83ac6537586,XX43693515268541639166973062,2025-09-02,180946,CAD
0b62700a-34d8-459e-8118-d7cdfb787f98,PL35868950905140376319671862,2025-02-22,140054,GBP
73df9039-fb9a-44db-8d29-cfae1d66a9bd,PL6671700600995988889981457105346,2025-10-23,77008,AUD
64d1f6ad-717e-4523-ad68-37004ff7eb77,PL61544941234178730785544376,2025-11-13,207677,SEK
799f2f61-837f-4706-873a-29fd7c71dbe1,XX27549521898059192188917527,2025-12-30,110978,CHF
e87532bb-2076-443f-908f-235026d8e25c,PL64622215279835424094397540,2025-11-17,88404,CHF
8015c079-d89b-451d-9ea3-fef03ab2fc9c,PL21695582015165453246890031,2025-05-07,215343,SEK
24fc4638-8b6c-40d6-9453-ec7d779bc44d,PL95867796027267741857457051,2025-07-19,5692,CAD
733cf7c3-4d98-43f7-a0f8-9d99fa2006d9,PL1714011301964124523414043765119,2025-08-12,39317,USD
c0e70ff7-c6f6-42ab-a01e-acdade5014e2,PL26325882177264392239025713,2025-03-19,166786,CAD
ce9c3580-e132-4561-95aa-89312b94af84,PL66493935928496205508930383,2025-04-17,41549,AUD
